route_id,direction_id,stop_order,subline_num,route_pattern_name,from_stop_id,from_station_id,from_stop_name,to_stop_id,to_station_id,to_stop_name,from_to_meters,cumulative_meters,from_to_miles,cumulative_miles,total_miles,ObjectId
Green,0,24,0,Government Center - Cleveland Circle,70229,place-bcnwa,Washington Square,70231,place-tapst,Tappan Street,315.892208,7326.638646,0.196286318,4.552562191,14.42749266,82
Green,0,25,0,Government Center - Cleveland Circle,70231,place-tapst,Tappan Street,70233,place-denrd,Dean Road,276.658548,7603.297194,0.171907652,4.724469842,14.42749266,83
Green,0,26,0,Government Center - Cleveland Circle,70233,place-denrd,Dean Road,70235,place-engav,Englewood Avenue,351.797935,7955.095129,0.218597102,4.943066945,14.42749266,84
Green,0,27,0,Government Center - Cleveland Circle,70235,place-engav,Englewood Avenue,70237,place-clmnl,Cleveland Circle,287.016998,8242.112127,0.178344094,5.121411039,14.42749266,85
Green,0,4,-1,Union Square - Riverside,70504,place-unsqu,Union Square,70502,place-lech,Lechmere,1714.152812,1714.152812,1.065125176,1.065125176,14.42749266,105
Green,0,13,2,Union Square - Riverside,70155,place-coecl,Copley,70153,place-hymnl,Hynes Convention Center,913.927653,6915.196815,0.567888315,4.296904089,14.42749266,114
Green,0,14,2,Union Square - Riverside,70153,place-hymnl,Hynes Convention Center,70151,place-kencl,Kenmore,644.776666,7559.973481,0.400645646,4.697549735,14.42749266,115
Green,0,15,2,Union Square - Riverside,70151,place-kencl,Kenmore,70187,place-fenwy,Fenway,968.933563,8528.907044,0.602067403,5.299617138,14.42749266,116
Green,0,16,-1,Union Square - Riverside,70187,place-fenwy,Fenway,70183,place-longw,Longwood,573.203565,9102.110609,0.356172183,5.655789321,14.42749266,117
Green,0,17,-1,Union Square - Riverside,70183,place-longw,Longwood,70181,place-bvmnl,Brookline Village,1188.207124,10290.31773,0.738317677,6.394106998,14.42749266,118
Green,0,18,-1,Union Square - Riverside,70181,place-bvmnl,Brookline Village,70179,place-brkhl,Brookline Hills,857.623038,11147.94077,0.53290225,6.927009248,14.42749266,120
Green,0,19,-1,Union Square - Riverside,70179,place-brkhl,Brookline Hills,70177,place-bcnfd,Beaconsfield,1283.472037,12431.41281,0.79751255,7.724521798,14.42749266,121
Green,0,20,-1,Union Square - Riverside,70177,place-bcnfd,Beaconsfield,70175,place-rsmnl,Reservoir,642.381558,13073.79437,0.399157395,8.123679192,14.42749266,122
Green,0,21,-1,Union Square - Riverside,70175,place-rsmnl,Reservoir,70173,place-chhil,Chestnut Hill,1642.992669,14716.78704,1.020908314,9.144587506,14.42749266,123
Green,0,22,-1,Union Square - Riverside,70173,place-chhil,Chestnut Hill,70171,place-newto,Newton Centre,2364.370184,17081.15722,1.46915152,10.61373903,14.42749266,124
Green,0,23,-1,Union Square - Riverside,70171,place-newto,Newton Centre,70169,place-newtn,Newton Highlands,1302.945299,18384.10252,0.809612674,11.4233517,14.42749266,125
Green,0,24,-1,Union Square - Riverside,70169,place-newtn,Newton Highlands,70167,place-eliot,Eliot,1243.031598,19627.13412,0.772384026,12.19573573,14.42749266,126
Green,0,25,-1,Union Square - Riverside,70167,place-eliot,Eliot,70165,place-waban,Waban,1363.660029,20990.79415,0.847339058,13.04307478,14.42749266,127
Green,0,26,-1,Union Square - Riverside,70165,place-waban,Waban,70163,place-woodl,Woodland,1330.448725,22321.24287,0.82670251,13.86977729,14.42749266,128
Green,0,27,-1,Union Square - Riverside,70163,place-woodl,Woodland,70161,place-river,Riverside,849.547837,23170.79071,0.527884552,14.39766185,14.42749266,129
Green,0,0,0,Medford/Tufts - Heath Street,70512,place-mdftf,Medford/Tufts,70510,place-balsq,Ball Square,960.283868,960.283868,0.596692732,0.596692732,8.577628845,154
Green,0,1,0,Medford/Tufts - Heath Street,70510,place-balsq,Ball Square,70508,place-mgngl,Magoun Square,768.378024,1728.661892,0.477447969,1.074140701,8.577628845,155
Green,0,2,0,Medford/Tufts - Heath Street,70508,place-mgngl,Magoun Square,70506,place-gilmn,Gilman Square,1094.773878,2823.43577,0.68026095,1.754401651,8.577628845,156
Green,0,3,0,Medford/Tufts - Heath Street,70506,place-gilmn,Gilman Square,70514,place-esomr,East Somerville,1235.641449,4059.077219,0.767792,2.522193651,8.577628845,157
Green,0,4,0,Medford/Tufts - Heath Street,70514,place-esomr,East Somerville,70502,place-lech,Lechmere,1350.522505,5409.599724,0.839175779,3.36136943,8.577628845,158
Green,0,5,0,Medford/Tufts - Heath Street,70502,place-lech,Lechmere,70208,place-spmnl,Science Park/West End,830.601825,6240.201549,0.516112046,3.877481476,8.577628845,159
Green,0,6,0,Medford/Tufts - Heath Street,70208,place-spmnl,Science Park/West End,70206,place-north,North Station,654.735789,6894.937338,0.406833958,4.284315434,8.577628845,160
Orange,0,0,0,Oak Grove - Forest Hills,70036,place-ogmnl,Oak Grove,70034,place-mlmnl,Malden Center,1182.25807,1182.25807,0.734621106,0.734621106,11.02917762,162
Orange,0,1,0,Oak Grove - Forest Hills,70034,place-mlmnl,Malden Center,70032,place-welln,Wellington,2821.695185,4003.953255,1.753320101,2.487941208,11.02917762,163
Orange,0,2,0,Oak Grove - Forest Hills,70032,place-welln,Wellington,70278,place-astao,Assembly,1018.712674,5022.665929,0.632998709,3.120939917,11.02917762,164
Orange,0,3,0,Oak Grove - Forest Hills,70278,place-astao,Assembly,70030,place-sull,Sullivan Square,929.428723,5952.094652,0.577520234,3.69846015,11.02917762,165
Orange,0,4,0,Oak Grove - Forest Hills,70030,place-sull,Sullivan Square,70028,place-ccmnl,Community College,1396.58891,7348.683562,0.867800116,4.566260266,11.02917762,166
Orange,0,5,0,Oak Grove - Forest Hills,70028,place-ccmnl,Community College,70026,place-north,North Station,1137.504566,8486.188128,0.706812568,5.273072835,11.02917762,167
Orange,0,6,0,Oak Grove - Forest Hills,70026,place-north,North Station,70024,place-haecl,Haymarket,379.984834,8866.172962,0.236111629,5.509184464,11.02917762,168
Orange,0,7,0,Oak Grove - Forest Hills,70024,place-haecl,Haymarket,70022,place-state,State,461.060589,9327.233551,0.286489768,5.795674232,11.02917762,169
Orange,0,8,0,Oak Grove - Forest Hills,70022,place-state,State,70020,place-dwnxg,Downtown Crossing,453.474441,9780.707992,0.281775954,6.077450186,11.02917762,170
Orange,0,9,0,Oak Grove - Forest Hills,70020,place-dwnxg,Downtown Crossing,70018,place-chncl,Chinatown,395.544613,10176.25261,0.245780028,6.323230214,11.02917762,171
Orange,0,10,0,Oak Grove - Forest Hills,70018,place-chncl,Chinatown,70016,place-tumnl,Tufts Medical Center,348.245275,10524.49788,0.216389582,6.539619795,11.02917762,172
Orange,0,11,0,Oak Grove - Forest Hills,70016,place-tumnl,Tufts Medical Center,70014,place-bbsta,Back Bay,1081.461063,11605.95894,0.67198875,7.211608545,11.02917762,173
Orange,0,12,0,Oak Grove - Forest Hills,70014,place-bbsta,Back Bay,70012,place-masta,Massachusetts Avenue,1003.029924,12608.98887,0.6232539,7.834862445,11.02917762,174
Orange,0,13,0,Oak Grove - Forest Hills,70012,place-masta,Massachusetts Avenue,70010,place-rugg,Ruggles,669.28819,13278.27706,0.415876401,8.250738846,11.02917762,175
Orange,0,14,0,Oak Grove - Forest Hills,70010,place-rugg,Ruggles,70008,place-rcmnl,Roxbury Crossing,835.416798,14113.69386,0.519103932,8.769842778,11.02917762,176
Orange,0,15,0,Oak Grove - Forest Hills,70008,place-rcmnl,Roxbury Crossing,70006,place-jaksn,Jackson Square,885.079875,14998.77373,0.549963137,9.319805915,11.02917762,177
Orange,0,16,0,Oak Grove - Forest Hills,70006,place-jaksn,Jackson Square,70004,place-sbmnl,Stony Brook,775.906821,15774.68055,0.482126146,9.801932061,11.02917762,178
Orange,0,17,0,Oak Grove - Forest Hills,70004,place-sbmnl,Stony Brook,70002,place-grnst,Green Street,865.563728,16640.24428,0.537836366,10.33976843,11.02917762,179
Orange,0,18,0,Oak Grove - Forest Hills,70002,place-grnst,Green Street,70001,place-forhl,Forest Hills,1109.497653,17749.74193,0.689409879,11.02917831,11.02917762,180
Red,0,0,0,Alewife - Ashmont,70061,place-alfcl,Alewife,70063,place-davis,Davis,1595.523052,1595.523052,0.991412061,0.991412061,17.62582455,200
Red,0,1,0,Alewife - Ashmont,70063,place-davis,Davis,70065,place-portr,Porter,1027.370006,2622.893058,0.638378125,1.629790187,17.62582455,201
Red,0,2,0,Alewife - Ashmont,70065,place-portr,Porter,70067,place-harsq,Harvard,1715.034715,4337.927773,1.065673166,2.695463352,17.62582455,202
Red,0,3,0,Alewife - Ashmont,70067,place-harsq,Harvard,70069,place-cntsq,Central,1563.837695,5901.765468,0.971723693,3.667187045,17.62582455,203
Red,0,4,0,Alewife - Ashmont,70069,place-cntsq,Central,70071,place-knncl,Kendall/MIT,1557.302746,7459.068214,0.967663064,4.634850109,17.62582455,204
Red,0,5,0,Alewife - Ashmont,70071,place-knncl,Kendall/MIT,70073,place-chmnl,Charles/MGH,1169.228072,8628.296286,0.726524641,5.36137475,17.62582455,205
